studyId	sampleId	label_1	label_2	label_3	llabel	s_type	n_reads	n_reads2	n_issues	foodId	description	L1	L4	L6	nature	process	spoilage	target1	target2	biosample	SRA_sample	geo_loc_country	geo_loc_continent	lat_lon	matchId	L2	L3
ST239	14038	SA14038	s.ERR4554114	SAMEA7280814_A01BQ	A01BQinfd	Sample	18898	18898	0	A01BQ	Nyons fermented Olive fruit ITS_R1D64C1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280814	SAMEA7280814	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14039	SA14039	s.ERR4554115	SAMEA7280815_A01BQ	A01BQinfd	Sample	31439	31439	0	A01BQ	Nyons fermented Olive fruit ITS_R1D64C2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280815	SAMEA7280815	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14040	SA14040	s.ERR4554116	SAMEA7280816_A01BQ	A01BQinfd	Sample	33260	33260	0	A01BQ	Nyons fermented Olive fruit ITS_R1D64C3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280816	SAMEA7280816	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14041	SA14041	s.ERR4554117	SAMEA7280817_A01BQ	A01BQinfd	Environment	25711	25711	0	A01BQ	Nyons olive fermentation brine ITS_R1D64B1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280817	SAMEA7280817	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14042	SA14042	s.ERR4554118	SAMEA7280818_A01BQ	A01BQinfd	Environment	18752	18752	0	A01BQ	Nyons olive fermentation brine ITS_R1D64B2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280818	SAMEA7280818	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14043	SA14043	s.ERR4554119	SAMEA7280819_A01BQ	A01BQinfd	Environment	22547	22547	0	A01BQ	Nyons olive fermentation brine ITS_R1D64B3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280819	SAMEA7280819	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14044	SA14044	s.ERR4554120	SAMEA7280820_A01BQ	A01BQinfd	Environment	13806	13806	0	A01BQ	Nyons olive fermentation brine ITS_R1D64C1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280820	SAMEA7280820	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14045	SA14045	s.ERR4554121	SAMEA7280821_A01BQ	A01BQinfd	Environment	17146	17146	0	A01BQ	Nyons olive fermentation brine ITS_R1D64C2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280821	SAMEA7280821	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14046	SA14046	s.ERR4554122	SAMEA7280822_A01BQ	A01BQinfd	Environment	17524	17524	0	A01BQ	Nyons olive fermentation brine ITS_R1D64C3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280822	SAMEA7280822	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14047	SA14047	s.ERR4554123	SAMEA7280823_A01BQ	A01BQinfd	Sample	11269	11269	0	A01BQ	Nyons fermented Olive fruit ITS_R1D42B1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280823	SAMEA7280823	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14048	SA14048	s.ERR4554124	SAMEA7280824_A01BQ	A01BQinfd	Sample	9069	9069	1	A01BQ	Nyons fermented Olive fruit ITS_R1D42B2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280824	SAMEA7280824	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
