studyId	sampleId	label_1	label_2	label_3	llabel	s_type	n_reads	n_reads2	n_issues	foodId	description	L1	L4	L6	nature	process	spoilage	target1	target2	biosample	SRA_sample	geo_loc_country	geo_loc_continent	lat_lon	L2	L3
ST141	7710	SA7710	s.ERR4553133	s.ERR4553133_A01BQ	A01BQinfd	Sample	4765	4765	1	A01BQ	Nyons fermented Olive fruit R2D183C3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280020	SAMEA7280020	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7711	SA7711	s.ERR4553134	s.ERR4553134_A01BQ	A01BQ000d	Environment	22378	22378	0	A01BQ	Nyons olive fermentation brine R2D183B1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280021	SAMEA7280021	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7712	SA7712	s.ERR4553135	s.ERR4553135_A01BQ	A01BQ000d	Environment	26713	26713	0	A01BQ	Nyons olive fermentation brine R2D183B2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280022	SAMEA7280022	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7713	SA7713	s.ERR4553136	s.ERR4553136_A01BQ	A01BQ000d	Environment	23649	23649	0	A01BQ	Nyons olive fermentation brine R2D183B3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280023	SAMEA7280023	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7714	SA7714	s.ERR4553137	s.ERR4553137_A01BQ	A01BQ000d	Environment	25095	25095	0	A01BQ	Nyons olive fermentation brine R2D183C1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280024	SAMEA7280024	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7715	SA7715	s.ERR4553138	s.ERR4553138_A01BQ	A01BQ000d	Environment	22684	22684	0	A01BQ	Nyons olive fermentation brine R2D183C2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280025	SAMEA7280025	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7716	SA7716	s.ERR4553139	s.ERR4553139_A01BQ	A01BQ000d	Environment	27485	27485	0	A01BQ	Nyons olive fermentation brine R2D183C3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280026	SAMEA7280026	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7717	SA7717	s.ERR4553140	s.ERR4553140_A01BQ	A01BQinfd	Sample	3980	3980	1	A01BQ	Nyons fermented Olive fruit R2D120B1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280027	SAMEA7280027	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7718	SA7718	s.ERR4553141	s.ERR4553141_A01BQ	A01BQinfd	Sample	1488	1488	2	A01BQ	Nyons fermented Olive fruit R2D120B2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280028	SAMEA7280028	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7719	SA7719	s.ERR4553142	s.ERR4553142_A01BQ	A01BQinfd	Sample	3409	3409	1	A01BQ	Nyons fermented Olive fruit R2D120B3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280029	SAMEA7280029	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7720	SA7720	s.ERR4553143	s.ERR4553143_A01BQ	A01BQinfd	Sample	1267	1267	2	A01BQ	Nyons fermented Olive fruit R2D120C1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280030	SAMEA7280030	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7721	SA7721	s.ERR4553144	s.ERR4553144_A01BQ	A01BQinfd	Sample	1132	1132	2	A01BQ	Nyons fermented Olive fruit R2D120C2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280031	SAMEA7280031	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7722	SA7722	s.ERR4553145	s.ERR4553145_A01BQ	A01BQinfd	Sample	1241	1241	2	A01BQ	Nyons fermented Olive fruit R2D120C3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280032	SAMEA7280032	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7723	SA7723	s.ERR4553146	s.ERR4553146_A01BQ	A01BQ000d	Environment	30552	30552	0	A01BQ	Nyons olive fermentation brine R2D120B1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280033	SAMEA7280033	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7724	SA7724	s.ERR4553147	s.ERR4553147_A01BQ	A01BQ000d	Environment	28915	28915	0	A01BQ	Nyons olive fermentation brine R2D120B2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280034	SAMEA7280034	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
